id,location,title,longitude,latitude
AL_DD,"Decatur, Ala. USA",The Decatur Daily,-86.98651123,34.60289001
AL_DE,"Dothan, Ala. USA",Dothan Eagle,-85.39363098,31.22551727
AL_EL,"Enterprise, Ala. USA",The Enterprise Ledger,-85.37562561,31.24837303
AL_TD,"Florence, Ala. USA",TimesDaily,-87.67746735,34.79953766
AL_MA,"Montgomery, Ala. USA",Montgomery Advertiser,-86.31422424,32.37905121
AL_OAN,"Opelika, Ala. USA",Opelika-Auburn News,-85.38977051,32.61543274
AK_ADN,"Anchorage, Alaska USA",Anchorage Daily News,-149.8119659,61.21282578
AK_FDNM,"Fairbanks, Alaska USA",Fairbanks Daily News-Miner,-147.7224121,64.84612274
AZ_TNH,"Lake Havasu City, Ariz. USA",Today's News-Herald,-114.3349457,34.49700928
AZ_AR,"Phoenix, Ariz. USA",The Arizona Republic,-112.0708389,33.45183563
AZ_DC,"Prescott, Ariz. USA",The Daily Courier,-112.4315948,34.59160614
AZ_ADS,"Tucson, Ariz. USA",Arizona Daily Star,-110.9583817,32.16434479
AR_SR,"Hot Springs, Ark. USA",The Sentinel-Record,-93.05187225,34.51084137
AR_ADG,"Little Rock, Ark. USA",Arkansas Democrat-Gazette,-92.27081299,34.74411011
CA_BC,"Bakersfield, Calif. USA",The Bakersfield Californian,-119.0287628,35.34912109
CA_FB,"Fresno, Calif. USA",The Fresno Bee,-119.7860107,36.7403717
CA_LAT,"Los Angeles, Calif. USA",Los Angeles Times,-118.245285,34.05269241
CA_LO,"Los Angeles, Calif. USA",La Opinión,-118.2587814,34.04867172
CA_MSS,"Merced, Calif. USA",Merced Sun-Star,-120.4708405,37.31620407
CA_MB,"Modesto, Calif. USA",The Modesto Bee,-120.9951248,37.6415863
CA_WJLA,"Monterey Pk, Calif. USA",World Journal - Los Angeles,-118.1663437,34.04615784
CA_DS,"Palm Springs, Calif. USA",The Desert Sun,-116.5028763,33.83390427
CA_RS,"Redding, Calif. USA",Record Searchlight,-122.3929138,40.58752441
CA_SB,"Sacramento, Calif. USA",The Sacramento Bee,-121.480835,38.56764603
CA_SDUT,"San Diego, Calif. USA",The San Diego Union-Tribune,-117.1617279,32.7156868
CA_SFC,"San Francisco, Calif. USA",San Francisco Chronicle,-122.406601,37.78215408
CA_MN,"San Jose, Calif. USA",The Mercury News,-121.8897629,37.33757019
CA_TT,"San Luis Obispo, Calif. USA",The Tribune,-120.6625548,35.28551973
CA_VCS,"Ventura, Calif. USA",Ventura County Star,-119.0506973,34.22291565
CA_VTD,"Visalia, Calif. USA",Visalia Times-Delta,-119.2929153,36.33377075
CA_EBT,"Walnut Creek, Calif. USA",East Bay Times,-122.0283813,37.92417526
CO_TG,"Colorado Springs, Colo. USA",The Gazette,-104.8217316,38.83311081
CO_DS,"Grand Junction, Colo. USA",The Daily Sentinel,-108.5644544,39.0687903
CT_CP,"Bridgeport, Conn. USA",Connecticut Post,-73.19126892,41.18188095
CT_NT,"Danbury, Conn. USA",The News-Times,-73.4553299,41.39754868
CT_GT,"Greenwich, Conn. USA",Greenwich Time,-73.58768463,41.04189301
CT_HC,"Hartford, Conn. USA",Hartford Courant,-72.68674469,41.76501083
CT_MP,"Middletown, Conn. USA",The Middletown Press,-72.65041351,41.56148148
CT_NHR,"New Haven, Conn. USA",New Haven Register,-72.92701721,41.28642273
CT_TD,"New London, Conn. USA",The Day,-72.09645081,41.35638428
CT_TH,"Norwalk, Conn. USA",The Norwalk Hour,-73.42572784,41.13825226
CT_TA,"Stamford, Conn. USA",Stamford Advocate,-73.54354858,41.05090714
DE_NJ,"Wilmington, Del. USA",The News Journal,-75.5986557,39.69276428
DC_WP,"Washington, D.C. USA",The Washington Post,-77.02269745,38.89998245
DC_WT,"Washington, D.C. USA",The Washington Times,-76.956234,38.917321
DC_SS,"Washington, D.C. USA",Stars and Stripes,-77.01485000,38.89807000
FL_BH,"Bradenton, Fla. USA",The Bradenton Herald,-82.56349945,27.49522972
FL_CCC,"Crystal River, Fla. USA",Citrus County Chronicle,-82.539505,28.88668251
FL_NP,"Fort Myers, Fla. USA",The News-Press,-81.86364746,26.64086723
FL_SLNT,"Fort Pierce, Fla. USA",St. Lucie News Tribune,-80.32788849,27.41076279
FL_SS,"Ft. Lauderdale, Fla. USA",Sun Sentinel,-80.14356232,26.12367058
FL_FTU,"Jacksonville, Fla. USA",The Florida Times-Union,-81.65579987,30.33137894
FL_ENH,"Miami, Fla. USA",El Nuevo Herald,-80.23741913,25.72898483
FL_MH,"Miami, Fla. USA",The Miami Herald,-80.18593597,25.78849983
FL_NDN,"Naples, Fla. USA",Naples Daily News,-81.79301453,26.14829636
FL_OS,"Orlando, Fla. USA",Orlando Sentinel,-81.37800598,28.55202293
FL_PNJ,"Pensacola, Fla. USA",Pensacola News Journal,-87.21723938,30.42084503
FL_SHT,"Sarasota, Fla. USA",Sarasota Herald-Tribune,-82.53547668,27.33647156
FL_TIMES,"St. Petersburg, Fla. USA",Tampa Bay Times,-82.64000702,27.77030182
